pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Dead,17,completed,350,10,No,99.6,350,10,No,103.3,465,6,Yes,117,295,10,97.3
Dead,18,drawn,675,9,Yes,185,305,10,No,94.6,244,9,Yes,84,23,1,12
Dead,19,drawn,473,9,Yes,134,518,10,No,155.1,285,6,Yes,110,0,0,0
Dead,20,completed,392,10,No,106.3,243,10,No,74.1,181,9,Yes,52,140,10,53.5
Dead,21,completed,476,9,Yes,134,331,10,No,102.2,105,9,Yes,44,235,10,67.4
Dead,22,completed,265,10,No,85.6,409,9,Yes,118,363,10,No,100.3,220,5,79.4
Dead,23,completed,400,9,Yes,115,268,10,No,74.4,359,5,Yes,102,281,10,90.6
Dead,24,completed,379,10,No,98.5,316,10,No,86.5,443,10,No,139.5,163,10,41.3
Dead,25,drawn,761,8,Yes,199,474,10,No,156.1,209,7,Yes,67,0,0,0
Dead,26,completed,299,10,No,84.5,431,10,No,123.5,434,5,Yes,112,288,10,106.5
Dead,27,completed,192,10,No,66.5,420,9,Yes,115,160,10,No,40.6,0,0,0
Dead,28,completed,310,10,No,98.4,474,10,No,136.5,194,10,No,74.1,32,2,13.3
Dead,29,drawn,320,10,No,84.3,327,10,No,100.3,304,9,Yes,94,248,3,93
Dead,30,completed,391,9,Yes,108,347,10,No,92.4,477,8,Yes,119,128,10,62.4
Dead,31,completed,481,10,No,142.6,225,10,No,56.4,369,4,Yes,109,245,10,85.4
Dead,32,drawn,371,10,No,109.6,327,10,No,96.2,297,10,No,100.2,200,9,71
Dead,33,completed,276,10,No,91.3,416,10,No,122.3,372,10,No,109.5,233,7,75.3
Dead,34,drawn,409,9,Yes,120,551,9,Yes,158,177,2,No,63,,,
Dead,35,completed,526,10,No,152.5,194,10,No,54.4,174,9,Yes,59,170,10,62.4
Dead,36,completed,339,10,No,101.4,424,9,Yes,124,266,10,No,80.6,182,3,48.2
Dead,37,completed,501,9,Yes,127,185,10,No,66.3,163,9,Yes,53,483,9,143.5
Dead,38,completed,248,10,No,75.2,216,10,No,67.1,204,9,Yes,62,238,4,69.2
Dead,39,completed,250,10,No,78.1,376,9,Yes,110,277,9,Yes,82,155,8,50.2
Dead,40,drawn,391,9,Yes,112,420,10,No,127.5,332,10,No,105.3,255,8,91
Dead,41,completed,172,10,No,53.4,653,9,Yes,176,102,10,No,30.1,0,0,0
Dead,42,completed,431,9,Yes,121,326,10,No,98.4,218,9,Yes,64,310,10,98.2
Dead,43,drawn,573,10,No,167.6,372,10,No,120.2,209,10,No,69.5,116,3,41
Dead,44,completed,127,10,No,49.3,130,10,No,40.1,396,9,Yes,112,177,10,58.5
Dead,45,completed,210,10,No,63.3,228,10,No,70.2,278,10,No,82.6,172,10,58.2
Dead,46,completed,336,10,No,89.6,211,10,No,58.5,264,9,Yes,85,298,10,95.1
Dead,47,completed,243,10,No,70.4,379,9,Yes,122,147,10,No,40.6,12,0,2.1
Dead,48,completed,511,9,Yes,140,234,10,No,71.4,135,9,Yes,44,413,7,139.5
Dead,49,drawn,276,10,No,77.4,288,10,No,73.2,478,3,Yes,108,307,9,107
Dead,50,completed,141,10,No,46.4,412,9,Yes,120,190,10,No,59.4,0,0,0
Dead,51,completed,230,10,No,69.6,501,10,No,151.2,415,10,No,101.4,134,10,32.2
Dead,52,completed,341,10,No,102.2,148,10,No,55.5,194,9,Yes,61,228,10,61.3
Dead,53,completed,641,9,Yes,163,191,10,No,54.6,244,10,No,92.4,,,
Dead,54,completed,281,10,No,73.1,501,9,Yes,146,251,10,No,81.2,32,1,12
Dead,55,completed,304,10,No,87.4,276,10,No,79.2,441,9,Yes,112,135,10,47.1
Dead,56,completed,620,9,Yes,164,280,10,No,81.4,367,9,Yes,120,148,10,45.6
Dead,57,completed,429,9,Yes,134,209,10,No,62.5,255,6,Yes,85,176,10,60.4
Dead,58,drawn,201,10,No,63.3,418,9,Yes,129,761,5,Yes,174,111,3,29
Dead,59,completed,213,10,No,66.5,332,9,Yes,103,228,9,Yes,64,110,5,43.5
Dead,60,drawn,362,10,No,107.3,435,9,Yes,124,463,10,No,117.1,219,7,87
Dead,61,completed,684,10,No,191.5,115,10,No,37.2,341,10,No,119.1,,,
Dead,62,completed,395,9,Yes,119,256,10,No,75.2,182,9,Yes,56,226,10,71.6
Dead,63,completed,151,10,No,45.2,295,9,Yes,82,487,9,Yes,127,194,10,50.5
Dead,64,completed,355,10,No,100.2,255,10,No,69.1,211,9,Yes,66,188,10,57.2
Dead,65,completed,276,10,No,91.4,124,10,No,38.3,87,9,Yes,28,240,6,68.5
Dead,66,drawn,323,10,No,92.6,428,9,Yes,136,453,10,No,117.4,230,6,90
Dead,67,completed,198,10,No,66.2,258,9,Yes,80,293,10,No,90.4,234,5,78.5
Dead,68,completed,297,10,No,89.2,174,10,No,47.6,221,9,Yes,62,345,5,99.4
Dead,69,drawn,693,8,Yes,189,470,10,No,143.5,122,9,Yes,50,32,0,12
Dead,70,drawn,584,9,Yes,164,579,10,No,161.5,250,6,Yes,81,90,1,29
Dead,71,completed,257,10,No,79.2,142,10,No,45.5,308,9,Yes,94,352,10,88.2
Dead,72,drawn,659,6,Yes,189,353,10,No,115.1,238,4,No,81,,,
